crop,pest_name,scientific_name,pest_type,damage_part,severity,eppo_code,source_url
apple,Codling Moth,Cydia pomonella,Insect,Fruit,High,CARPPO,https://gd.eppo.int/taxon/CARPPO/datasheet
apple,Apple Aphid,Aphis pomi,Insect,Leaves/Shoots,Medium,APHIPO,https://gd.eppo.int/taxon/APHIPO/datasheet
apple,Wooly Apple Aphid,Eriosoma lanigerum,Insect,Roots/Bark,Medium,ERYSLA,https://gd.eppo.int/taxon/ERYSLA/datasheet
apple,San Jose Scale,Quadraspidiotus perniciosus,Insect,Bark/Fruit,High,QUADPE,https://gd.eppo.int/taxon/QUADPE/datasheet
apple,Apple Maggot,Rhagoletis pomonella,Insect,Fruit,High,RHAGPO,https://gd.eppo.int/taxon/RHAGPO/datasheet
apple,European Red Mite,Panonychus ulmi,Mite,Leaves,Medium,PANOUL,https://gd.eppo.int/taxon/PANOUL/datasheet
banana,Banana Weevil,Cosmopolites sordidus,Insect,Corm/Stem,High,COSMSO,https://gd.eppo.int/taxon/COSMSO/datasheet
banana,Banana Aphid,Pentalonia nigronervosa,Insect,Leaves,Medium,PENANI,https://gd.eppo.int/taxon/PENANI/datasheet
banana,Thrips,Thrips hawaiiensis,Insect,Fruit/Leaves,Medium,THRIHA,https://gd.eppo.int/taxon/THRIHA/datasheet
banana,Root-knot Nematode,Meloidogyne incognita,Nematode,Roots,High,MELGIN,https://gd.eppo.int/taxon/MELGIN/datasheet
banana,Banana Skipper,Erionota thrax,Insect,Leaves,Low,ERINTH,https://gd.eppo.int/taxon/ERINTH/datasheet
banana,Mealybug,Planococcus citri,Insect,Leaves/Fruit,Medium,PLANCT,https://gd.eppo.int/taxon/PLANCT/datasheet
blackgram,Aphid,Aphis craccivora,Insect,Leaves/Pods,High,APHICR,https://gd.eppo.int/taxon/APHICR/datasheet
blackgram,Whitefly,Bemisia tabaci,Insect,Leaves,High,BEMITA,https://gd.eppo.int/taxon/BEMITA/datasheet
blackgram,Thrips,Thrips palmi,Insect,Flowers/Pods,Medium,THRIPL,https://gd.eppo.int/taxon/THRIPL/datasheet
blackgram,Pod Borer,Maruca vitrata,Insect,Pods,High,MARUCV,https://gd.eppo.int/taxon/MARUCV/datasheet
blackgram,Leaf Roller,Lamprosema indicate,Insect,Leaves,Medium,NOTEIN,https://gd.eppo.int/taxon/NOTEIN/datasheet
blackgram,Root-knot Nematode,Meloidogyne incognita,Nematode,Roots,Medium,MELGIN,https://gd.eppo.int/taxon/MELGIN/datasheet
chickpea,Gram Pod Borer,Helicoverpa armigera,Insect,Pods/Flowers,High,HELIAR,https://gd.eppo.int/taxon/HELIAR/datasheet
chickpea,Aphid,Aphis craccivora,Insect,Leaves/Shoots,High,APHICR,https://gd.eppo.int/taxon/APHICR/datasheet
chickpea,Cutworm,Agrotis ipsilon,Insect,Stem/Leaves,Medium,AGRTIP,https://gd.eppo.int/taxon/AGRTIP/datasheet
chickpea,Thrips,Caliothrips indicus,Insect,Flowers/Pods,Medium,SCIRTO,https://gd.eppo.int/taxon/SCIRTO/datasheet
chickpea,Leaf Miner,Liriomyza cicerina,Insect,Leaves,Low,LIRICC,https://gd.eppo.int/taxon/LIRICC/datasheet
